baffled	сбитый с толку
i was headhunted by a marketing agency.	Меня отобрали для работы в маркетинговом агентстве.
i was sacked for being drunk.	Меня уволили за явку в нетрезвом виде.
i was you and never knew it. rumi.	Я был тобой и никогда не знал этого. Руми.
i will be off-duty on thursday.	Я не дежурю в четверг.
i'd be glad to see you.	Буду рад Вас видеть.
i'd just wanted to tell you that..	Я лишь хотел сказать Вам, что..
i'd like an apple juice, bacon and eggs.	Принесите мне яблочный сок, бекон и яйца.
i'd like to get to know you much better.	Хотелось бы узнать тебя получше.
i'd like to invite you to the theatre.	Я хочу пригласить Вас в театр.
i'd like to see the job description.	Я хотел бы посмотреть список должностных обязанностей.
i'd like to take a few days off.	Я бы хотел взять несколько отгулов.
i'd like to talk to the human resources director.	Я бы хотел поговорить с начальником отдела кадров.
i'd love to eat a chocolate mousse with whipped cream.	Я с удовольствием бы съела шоколадный мусс со взбитыми сливками.
i'd love to try a pecan-caramel ice cream today.	Я бы с удовольствием попробовала мороженое c карамелью и орехом пекан.
i'll be in time.	Я буду вовремя.
i'll gain the necessary qualifications and apply for this job again.	Я получу необходимые навыки и снова попробую получить эту работу.
i'll go shopping during my lunch break.	Я пойду по магазинам в обеденный перерыв.
i'll have a cup of cappuccino.	Я бы выпила чашку капучино.
i'll try asparagus and marinated mushrooms as a salad.	Я попробую салат из спаржи и маринованных грибов.
i'll wait for you on that side of the street.	Я подожду Вас на другой стороне улицы.
i'm a lawyer.	Я юрист.
i'm actively engaged in voluntary work.	Я активно занимаюсь волонтерской деятельностью.
i'm afraid we were out of pineapple juice.	Боюсь, у нас нет ананасового сока.
i'm jobless.	Я безработный.
i'm looking for a job.	Я ищу работу.
i'm looking forward to meeting you.	С нетерпением жду встречи с Вами.
i'm on a diet, please bring me a piece of rye bread.	Я на диете, пожалуйста, принесите мне кусочек ржаного хлеба.
i'm really grateful to you.	Я очень Вам благодарен.
i'm so happy! i have been called for an interview today.	Я так счастлив! Меня позвали на собеседование сегодня.
i'm so hungry, bring me a smoked salmon with crispy polenta.	Я такой голодный, принесите мне копчёного лосося с хрустящей полентой.
i'm too handsome to do paperwork. house m.d..	Я слишком красив, чтобы заниматься бумажной работой. Доктор Хаус.
i'm travelling on business.	Я в командировке.
i'm trying to achieve a better work-life balance.	Я стараюсь достичь баланса между работой и личной жизнью.
i'm very sorry, but you lack experience.	Мне очень жаль, но у вас недостаточно опыта.
i've been downgraded from principal to vice-principal.	Меня понизили с директора до замдиректора.
i've dropped my spoon, bring me another one.	Я уронил ложку, принесите мне другую.
i've read the things you like... you won't believe i like all of those things too!	Прочитала чем ты интересуешься... Ты не поверишь, но мне нравится тоже самое!
ide	интегрированная среда разработки
ifrit	ифрит
incredulous	недоверчивый
induce	побуждать
initiatives	инициативы
inocent	Невинный
investigation	Расследование
ivy	плющ
i`ll think about that tomorrow. scarlett o`hara.	Я подумаю об этом завтра. Скарлетт О`Хара.
if it sells, it's art. frank lloyd.	Если это продается, то это искусство. Френк Ллойд.
if you are going through hell, keep going. winston churchill.	Если ты идешь через ад, продолжай идти. Уинстон Черчилль.
if you have nothing to say, say nothing. mark twain.	Не говори ничего, если тебе нечего сказать. Марк Твен.
if you haven't found it yet, keep looking. steve jobs.	Если вы еще не нашли свое дело, продолжайте искать. Стив Джобс.
if you're good at something never do it for free. joker, batman dark knight.	Если ты делаешь что-то хорошо, никогда не делай это бесплатно. Джокер, Темный рыцарь.
in spite	не смотря на
in this world, nothing is certain but death and taxes. meet joe black.	Неизбежны лишь смерть и налоги. Знакомьтесь, Джо Блэк.
integrated development environment	интегрированная среда разработки
is it table service or self-service?	Этот столик обслуживается или надо самим заказывать?
is this time suitable for you?	Это время Вам подходит?
it beats me.	Это выше моего понимания.
it is combined with butter and worcestershire sauce.	Это блюдо сочетается с маслом и вустерширским соусом.
it is lovely weather today, isn't it?	Сегодня прелестная погода, не правда ли?
it makes things easier.	Так проще.
it never crossed my mind that we would find this treasure.	Мне никогда не приходило в голову, что мы найдем это сокровище.
it never occurred to me to ask where she'd been.	Мне никогда не приходило в голову спросить, где она была.
it serves you right.	Так тебе и надо.
it was not that he didn't love her.	He то, чтобы он не любил ее.
it's a nice day, we prefer to eat outside.	Сегодня хорошая погода, мы бы предпочли поесть на террасе.
it's going to be all right.	Все будет хорошо.
it's not that i want to stay here.	Нельзя сказать, что я хочу здесь остаться.
jaded	измученный
jarred	дребезжал
jerk	придурок, болван
jolt	толчок
kidding	шутить
kate, haven't you got any english mustard?	Кейт, нет ли у вас английской горчицы?
keep your friends close, but your enemies closer. michael corleone, godfather.	Держи друзей близко, а врагов еще ближе. Майкл Корлеоне, Крёстный отец.
laced	переплетен
lan	локальная вычислительная сеть
lava	лава
lcd	жидкокристаллический индикатор
leaf-strewn	усыпанный листвой
leaning	наклоняясь
leave me alone	оставь меня в покое. /....одного/
ledge	выступ
lf line feed	перевод строки
lgpl	стандартная общественная лицензия ограниченного применения
lifo	последним пришёл - первым обслужен
limply	безвольнo
litany	унылый перечень
lsb	младший (наименее значащий) бит байта или машинного слова
lurch	идти шатаясь
last in first out	последним пришёл - первым обслужен
least significant bit	младший (наименее значащий) бит байта или машинного слова
lesser gpl	стандартная общественная лицензия ограниченного применения
let happen whatever would happen.	Пусть будет, что будет.
let's exchange e-mails / phone numbers.	Давайте обменяемся e-mail/телефонными номерами.
let's fix a meeting.	Давайте договоримся о встрече.
let's fix the exact time and place.	Давайте договоримся о точном времени и месте.
let's get to the point. let's hold to reason.	Давайте ближе к делу.
let's go to the seafood restaurant.	Пойдемте в рыбный ресторан.
let's try mozzarella fried sticks here.	Давай попробуем здесь сырные палочки из моцареллы.
let’s go to the cinema!	Давайте пойдем в кино!
life is a ticket to the greatest show on earth. martin h. fischer.	Жизнь — это билет на величайшее шоу на земле. Мартин Х. Фишер.
light music is a nice addition to delicious meal.	Ненавязчивая музыка - приятное дополнение к вкусной еде.
light-emitting diode	светодиод
lightweight directory applications protocol	протокол, обеспечивающий доступ к несовместимым между собой каталогам
linux security modules	интерфейс модулей безопасности
liquid-crystal display	жидкокристаллический индикатор
live for nothing or die for something. rambo.	Живи ни для чего, или умри за что-то. Рэмбо.
local area network	локальная вычислительная сеть
look, i've just realised that you look a lot like a girl of my dreams.	Слушай, до меня только что дошло, что ты очень похожа на девушку моей мечты.
menacing	грозный
mourner	скорбящий
mustard pot	горчичница
make a banana lime smoothie for me, please.	Сделайте, пожалуйста, смузи из банана с лаймом.
make a thin and crispy crust for the hawaiian pizza.	Сделайте у гавайской пиццы тоненькую хрустящую корочку.
marriage is our last, best chance to grow up. joseph barth.	Брак — наш последний, и самый лучший шанс повзрослеть. Джозеф Барт.
may i ask you out?	Можно пригласить Вас на свидание?
may i get a glass of lemonade with cherries?	Можно мне стакан вишнёвого лимонада?
may i have the pleasure of a dance?	Не доставите ли вы мне удовольствие, потанцевать со мной?
may i have your phone number or skype?	Можно взять у тебя номер телефона или скайп?
may the force be with you. star wars.	Да прибудет с вами сила. Звездные войны.
meanwhile	тем временем
money is a poor man's credit card. marshal mcluhan.	Деньги — это кредитная карточка бедного человека. Маршал Маклюэн.
much obliged.	Весьма признателен.
musing	размышляя
my annual salary is not very high.	Моя годовая зарплата не слишком высокая.
my boss offered me a promotion.	Начальник предложил мне повышение.
my co-workers are very nice people.	Мои коллеги очень милые люди.
my coffee is not hot.	Мой кофе не горячий.
my fish is too salty.	Моя рыба пересолена.
my friends will drink freshly squeezed orange juice.	Мои друзья будут пить свежевыжатый апельсиновый сок.
my heart overflows with love for you.	Моё сердце переполняется любовью к тебе.
my parents are pensioners.	Мои родители пенсионеры.
my wife and i'll split a pasta dish and beef curry.	Моя жена и я поделим между собой блюда из пасты и говядины с карри.
nodded	кивнул
never hate your enemies, it affects your judgement. godfather.	Не стоит ненавидеть врагов — эмоции мешают думать. Крестный отец.
never, never, never give up! winston churchill.	Никогда, никогда, никогда не сдавайся! Уинстон Черчилль.
nice to have met you.	Приятно было с вами познакомиться.
no reason in particular.	Просто так. Без особой причины.
not likely. unless you want to continue our discussion.	Скорей всего, нет. Если только ты не хочешь продолжить нашу дискуссию.
nothing ventured, nothing gained	кто не рискует, тот не пьет шампанского
numbing	онемевший
ocelot	оцелот
offend	обижать
oh my gosh	Боже мой!
overwhelmed	ошеломлённый
oh, and i've wrapped up the leftover barbecued chicken.	Да, кстати, остался жареный цыплёнок, я его завернула в фольгу.
one dry sherry and a glass of champagne, please.	Один сухой шерри и бокал шампанского, пожалуйста.
our company is overstaffed.	В нашей компании слишком много сотрудников.
our family prefer only healthy, organic food.	Наша семья предпочитает здоровую, натуральную пищу.
pandemonium	столпотворение
panem	хлеба и зрелищ!
patronizing	высокомерный
plate	пластина
plopped down	плюхнулась
pudgy	коротенький и толстый
putrid	гнилой
parable	притча
perhaps	возможно
pixel	пиксель
please give your name, address, and occupation.	Пожалуйста, укажите ваше имя, адрес и род деятельности.
please tell me about the specials of the day.	Пожалуйста, расскажите мне о блюде дня.
proud	гордый
purified	очищенный
quitter	лодырь
rapture	восторг
rattling	грохочущий
reached down	нагнулся
reeked	дурно пахло
reeling	кружиться
refuge	убежище
revel	наслаждаться
rumbling	грохот
reach out	протянуть руку, добиться
reconcile	согласовывать
redemption	искупление
refresher	памятка
reminisce	предаваться воспоминаниям
restless	беспокойный
sag	провисать
sank	опуститься
seeds	семена
shank	стержень
shit	дерьмо
shook	тряс
shove	запихнуть
shovel	лопата
shrugged	пожал плечами
shudder	вздрагивать
slamming	захлопывать
slid	скользнул
slug	слизняк
smear	мазать
smears	размытость
smothering	подавляющий
solace	утешение
son of a bitch	сукин сын
soothe	утешать
spruce	ель
staggered	поражeн
stairs	ступеньки
stepped up	активизировали, подошёл
stings	укус
strangely enough	как ни странно
striking	поразительный
struck	ударять
swam out	выплыл
swaying	раскачивание
swept away	сметены
swings	качается
swiveled	вертевший
sword	меч
swung	повернулся
sanity	здравомыслие
seek out	разыскивать, отыскать
seeping	просачиваться
several	несколько
severed	разорвал
show must go on. queen.	Шоу должно продолжаться. Queen.
sneering	насмешливо
so far so good.	Пока что все идет хорошо.
so how do you two know each other?	Так откуда вы знаете друг друга?
so that's one seafood spaghetti, one hamburger and one coke.	Итак, одна порция спагетти с морепродуктами, один гамбургер и кока-кола.
sometimes i work overtime.	Иногда я работаю сверхурочно.
sounds good to me.	Это меня устраивает.
spend	тратить
stolen	украл
stranger	незнакомец
suit yourself, but i've got a work to do and i won't go to paris.	Воля ваша, но мне нужно кое-что сделать, и в Париж я не поеду.
suit yourself.	Как хочешь. Воля ваша. Делай, как знаешь.
swear up	поклялся
tempt	соблазнять
tiptoed	на цыпочках
truce	перемирие
tell him whatever you want, i don't give a shit.	Можешь говорить ему все, что угодно — мне до лампочки.
tend to your own affairs.	Лучше займись своими делами. Не лезь не в свое дело.
terrified	в ужасе
thank you for a nice day.	Спасибо за прекрасный день.
thank you for your compliment.	Спасибо за комплимент.
that's a good idea.	Это хорошая идея.
that's the whole point.	В том-то все и дело.
the chef would be happy to meet your gastronomic tastes.	Шеф-повар с удовольствием исполнит ваши гастрономические капризы.
the crab salad to start, and the fillet of sea bass to follow.	Сначала принесите крабовый салат, а потом филе из морского окуня.
the day had brightened considerably.	день был значительно ярче.
the only way to have a friend is to be one. ralph waldo emersen.	Единственный способ иметь друга — стать другом. Ральф Уольдо Эмерсен.
the total price for your dinner is 50.00$.	Общая стоимость вашего обеда составляет 50 долларов.
there is no sin except stupidity. oscar wilde.	Нет большего греха, чем глупость. Оскар Уальд.
there is only one happiness in life — to love and to be loved. george sand.	Единственное счастье в жизни — любить и быть любимым. Жорж Санд.
there is too much pepper in the soup.	В этом супе слишком много перца.
there was a whole dish of hot pies smelling of jam, rice, and fish.	Подали полное блюдо горячих пирожков, от которых пахло вареньем, вареным рисом и рыбой.
these carrot chips are so crispy.	Эти чипсы из моркови такие хрустящие.
they are going to reduce the workforce.	Они собираются сократить штат сотрудников.
think it over.	Подумай хорошенько.
this banana cocktail looks lovely.	Этот банановый коктейль смотрится восхитительно.
this cheese omelette is very good.	Этот омлет с сыром очень вкусный.
time's up.	Время вышло.
to be or not to be, that`s the question. hamlet.	Быть или не быть; вот в чем вопрос. Гамлет.
treaty	договор
trick or treat	кошелёк или жизнь
truth begins in lies. house m.d..	Правда начинается со лжи. Доктор Хаус.
try to get letters of recommendation from bosses.	Постарайся получить рекомендательные письма от начальства.
two o'clock is the best time for me.	Два часа для меня в самый раз .
unease	беспокойство
utter	абсолютный
unearth	раскопать
vainly	тщетно
vanity	суета
vicious	порочный
villain	злодей
vomited	блевал
very well.	Очень хорошо.
wax	воск
what a jerk	Какой болван!
wages are paid on fridays.	Зарплату платят каждую пятницу.
we are out of the beef stew today, but we have a wide choice of starters.	У нас сегодня нет в наличии рагу из говядины, но есть большой выбор первых блюд.
we could have a cup of coffee at my place.	Давайте попьем кофе у меня.
we could meet at 5 o'clock.	Мы можем встретиться в 5 часов.
we have a huge selection of local beer.	У нас большой выбор местного пива.
we have a wide choice of soft drinks.	У нас большой выбор безалкогольных напитков.
we have limited selection of pasta dishes, but they are quite good.	У нас ограниченный выбор блюд из макарон, но эти блюда очень вкусные.
we have soft-boiled eggs and ham for breakfast.	Мы едим на завтрак яйца всмятку и ветчину.
we ordered well-done steaks, and these are rare.	Мы заказали хорошо прожаренный бифштекс, а нам принесли его с кровью.
we'll take an order of mushroom puffs.	Мы закажем слоёные булочки с грибами.
we'll take two hamburgers.	Мы возьмём два гамбургера.
what a charming girl you are!	Какая ты очаровательная девушка!
what are you?	Кем вы работаете?
what are your duties?	Каковы ваши обязанности?
what if we meet?	Может быть, встретимся?
what is your name?	Как Вас зовут?
what ruined your career?	Что разрушило вашу карьеру?
what salad would you recommend?	Какой салат вы бы порекомендовали?
what time is good for you?	Какое время Вам подходит?
what toppings do you offer today?	Какие начинки у вас сегодня в наличии?
what's the phone number of the employment centre?	Какой номер у центра занятости?
whatever is to be will be.	Чему быть, того не миновать.
when do you usually arrive at?	Во сколько вы обычно приходите на работу?
where do you come from?	Откуда Вы?
where would you like to meet?	Где бы ты хотела встретиться?
who are you and where are you from?	Кто ты и откуда ты?
who are you by profession?	Кто вы по профессии?
why do you ask? no reason in particular.	Почему ты спрашиваешь? Просто так.
will you say that again, please?	Повторите еще раз, будьте добры
with bigger powers come bigger responsibilities. spider man.	Чем больше сила, тем больше ответственность. Человек—паук.
without friends no one would choose to live. aristotle.	Никто не согласился бы жить без друзей. Аристотель.
without you there's no sun in the sky.	Без тебя для меня нет солнца в небе.
would you care for another piece of plum pudding, miss?	Не хотите ли вы еще кусочек сливового пудинга, мисс?
would you like a drink with your vegan salad?	Вы возьмете какой-нибудь напиток к вегетарианскому салату?
would you like a ham or a tuna sandwich?	Вы бы хотели сэндвич с ветчиной или тунцом?
would you like to order an aperitif before dinner?	Вы бы хотели заказать аперитив перед ужином?
would you like your brandy neat or on the rocks?	Вам принести неразбавленный бренди или со льдом?
yesterday i was offered the post of ambassador to india.	Вчера мне предложили должность посла в Индии.
you are on the right track.	Вы на правильном пути. Вы правильно мыслите.
you bet!	Еще спрашиваешь!
you have a point there.	Тут вы правы. Тоже верно.
you have to improve your practical skills.	Вам нужно улучшить практические навыки.
you have wonderful taste in clothes.	У Вас великолепный вкус в одежде.
you know better than that.	А ты не так прост.
you look fantastic!	Ты великолепно выглядишь!, Ты выглядишь чудесно!
you may wish to have a snack.	Возможно, вы захотите перекусить.
you need a professional to sort out your finances.	Вам нужен профессионал, чтобы разобраться с вашими финансовыми делами.
you smell so good!	Ты так хорошо пахнешь!
you'll hear from me.	Я дам вам знать.
you'll make it.	Ты сделаешь это.
you`re the worst thing that`s ever happened to me. marla singer, fight club.	Ты худшее, что было в моей жизни. Марла Сингер, Бойцовский клуб.
your beautiful eyes have set my heart at fire.	Твои прекрасные глаза разжигают огонь в моём сердце.
your hair is so soft!	У тебя такие мягкие волосы!
your smile makes a bright day even brighter.	Твоя улыбка делает яркий день ещё ярче.
your time is limited, so don't waste it living someone else's life. steve jobs.	Ваше время ограничено, поэтому не тратьте его, живя чужой жизнью. Стив Джобс.
a tinge of annoyance	некоторым оттенком раздражения.
abducted	похищенные
aberration	заблуждение, аберрация
able	способный
aboard	вдоль
abruptly	внезапно
abundant	имеющийся в изобилии
abuse	оскорблять
access	доступ
accidentally	случайно
accomplish	достигать
accusations	обвинения
aching	болящий
acquire	приобретать
acquit	оправдывать
actual	фактический, реальный, действующий
admiration	восхищение
adoption	усыновление
adorable	очаровательный
adoration	обожание, благоговение
advantageous	благоприятный
adversity	несчастья
advise	советовать
affairs	дела
affection	привязанность
afford	позволить себе
affordable	возможный
against	против
air-photography	аэрофотосъёмка
aisle	проход
algorithm	алгоритм
allege	утверждать
allegedly	якобы
aloft	наверху
alone	одинокий
aloof	отчуждённый
ambitions	амбиции
among	среди
amorousness	влюбчивость
amusement	изумление
anger	гнев
angry mood	злоба
ankle	лодыжка
annoy	раздражать
anodyne	успокаивающий
another	ещё один, другой, новый
anthem	гимн
anxious	озабоченный
apathy	апатия
aperture	отверстие
aperture number	число диафрагмы
aplomb	уверенность
apparently	вероятно
appendage	придаток
appliances	бытовая техника
appraisal	оценка
appreciated	оценивать
appreciation	признательность
apprehension	опасение; мрачное предчувствие, тревога
approaching	приближение
approximately	приблизительно
arbitrary	произвольный
are you crazy	ты сумасшедший
area coverage	покрытие местности
argue	спорить
arid	сухой
armpit	подмышка
arrogance	высокомерие
ashamed	пристыжённый
assailants	нападающие
assault	нападение
assessment	оценка
assume	допускать
astonish	удивлять
asylum	убежище
atmospheric transmittance	прозрачность атмосферы
attempt	пытаться
attendant	слуга
auto exposure control	автономное регулирование экспозиции
autography	автография
autoplug	автовилка
avalanche	лавина
avarice	алчность
avert	предотвращать
aware	осведомлённый
awe	страх, трепет
awful	ужасно
awkward	неуклюжий
axe	топор
back light	контровый свет
back-of-the-envelope	предварительный, черновой, приблизительный
backbone	позвоночник
bad	дурной, плохой, скверный
bail	залог
bald head	лысина
bare	голый
barely	едва
bark	кора
basic	главный, базовый, основной
basin	миска
bath-towel	махровое полотенце
battery	элементы питания
be over	окончиться, завершиться
bear	терпеть
bearing	поведение
beast	зверь
beaten up	избит
beef	говядина
befit	соответствовать
beg	просить
belly	живот
belt	пояс
bend	сгибать
beneath	под
benefactor	благодетель
berth	койка
besom	веник
best	лучший
betray	предавать
better	лучший, наилучший
beware	остерегаться
beyond	за
bickering	пререкания
big	большой, крупный, высокий, широкий, громкий
bill	счет
birthmark	родимое пятно
bite	кусать
bitter	горький
bizarrely	странно
black	чёрный, тёмный
blame	обвинять
blanket	шерстяное одеяло
bleach	побелеть
bleached	выцветший
blessings	благословения
bliss	блаженство
block	блок, кубик, многоквартирный дом
blood vessel	кровеносный сосуд
blow out	разбиться вдребезги, гаснуть
blue	голубой
blush	краснеть
board	плата
bogart	присвоить
boiled	варёный
bond	связь
bored	скучающий
boredom	скука
borrower	заёмщик
borrowing	заимствование
bother	беспокоиться
brace	приготовьтесь
brand-new	совершенно новый
brave heart	храброе сердце, смельчак, храбрец, бесстрашный человек
bribes	взятки
bride	новобрачная невеста
broke out	вспыхнуть, внезапно начаться
broom	метла
brown	коричневый
bucket	ведро
